dates,opens,highs,lows,closes,vols,results
20161123,43000,43900,42550,43050,4047443,1
20161122,41250,42800,41200,42700,3306186,0
20161121,41800,41900,40650,40750,1883627,0
20161118,42300,42400,41700,42000,3331134,1
20161117,41500,41900,41200,41900,2383464,0
20161116,40450,41000,40250,40850,2101878,0
20161115,39700,40400,39500,39700,2030086,0
20161114,40000,40450,39700,39700,1589911,1
20161111,40000,40450,39550,39850,2962651,0
20161110,41000,41050,40500,41000,2520434,1
20161109,41650,41750,38700,39650,5779291,1
20161108,42100,42150,41250,41500,1882987,1
20161107,41800,42050,41200,41500,2033220,0
20161104,41150,41400,40850,41200,2600930,0
20161103,40900,41700,40700,41150,2580396,1
20161102,41250,41400,40450,41000,2822651,0
20161101,41700,42350,41600,42000,3173446,1
20161031,42500,42900,41000,41000,3297943,1
20161028,42700,42950,42100,42450,2251179,1
20161027,42900,43600,42600,43000,4814197,1
20161026,41300,42900,41300,42900,6364037,0
20161025,40350,41650,40200,41050,4469224,0
20161024,41000,41150,39850,40150,2211109,0
20161021,39500,41000,39500,40950,2436212,0
20161020,40250,40300,38850,40050,5423960,0
20161019,41150,41450,39850,40050,5033246,1
20161018,42200,42300,41300,41650,2559222,1
20161017,41750,42300,41400,42300,2314725,0
20161014,41300,41900,41200,41550,2708972,0
20161013,41450,41700,40950,40950,3638071,0
20161012,41000,41900,41000,41250,3521492,1
20161011,41300,42000,41100,41300,2810503,1
20161010,42200,42500,41200,41300,2916252,1
20161007,42700,42700,41900,42200,2637734,1
20161006,43100,43150,42400,42550,2815496,1
20161005,42150,42950,41200,42600,4387312,0
20161004,41500,41800,41000,41800,3639803,0
20160930,39750,40950,39600,40200,3764773,0
20160929,40600,40750,40150,40200,3976705,0
20160928,41300,42000,40950,41200,4189804,1
20160927,39400,41150,39150,41150,4001505,0
20160926,39350,39500,38800,39500,1669862,0
20160923,39550,39650,39050,39350,2095120,1
20160922,39800,39800,39150,39400,3214630,1
20160921,39000,39150,38650,39150,1731450,0
20160920,39200,39450,38750,39250,2594490,1
20160919,38700,39450,38250,39200,5283684,0
20160913,37600,38300,37500,37800,3928646,0
20160912,37500,38300,37000,37000,4885896,0
20160909,38550,39000,38350,38950,2748415,1
20160908,37900,38700,37900,38700,3698781,0
20160907,38200,38800,37900,37900,3786844,1
20160906,37750,38000,37350,38000,2123160,0
20160905,36900,37500,36850,37500,2337575,0
20160902,36100,36700,35950,36650,1828390,0
20160901,36400,36400,35700,36100,1713669,0
20160831,36400,36450,35750,36450,2832970,1
20160830,36800,36950,35550,36300,2766460,1
20160829,35350,36400,35300,36250,2782441,0
20160826,35850,36350,35750,36250,2635343,0
20160825,35100,35750,34900,35700,1568516,0
20160824,35900,35950,35300,35750,1689924,1
20160823,36250,36300,35550,35600,3014421,1
20160822,35500,36050,35250,36000,4149396,0
20160819,34400,35400,34200,35400,4683750,0
20160818,33550,34250,33550,34150,1855081,0
20160817,33750,33900,32900,33550,2083372,0
20160816,34950,34950,33700,33700,2883043,1
20160812,34450,35100,34200,34350,2437735,1
20160811,33700,34800,33450,34800,2980478,0
20160810,34900,35000,33650,33800,3193311,1
20160809,34850,35200,34450,35050,2112078,1
20160808,35150,35250,34400,34950,2157854,1
20160805,34300,34900,33950,34800,2830058,0
20160804,33950,34200,33350,33650,1477680,0
20160803,33300,34400,33000,33550,2698841,1
20160802,34600,34700,33650,33750,2123735,1
20160801,34700,35300,34600,34850,3274413,1
20160729,33550,34400,33450,34400,4660512,0
20160728,33150,33550,33000,33550,3586965,0
20160727,32600,33450,32550,33450,4762165,0
20160726,32400,32400,31100,32050,5028045,0
20160725,32300,32650,32150,32500,2147590,1
20160722,32150,32150,31200,32000,2442893,0
20160721,32400,32800,32100,32150,1879147,1
20160720,32300,32400,31850,32100,1775583,0
20160719,32900,33000,31950,32450,2340759,1
20160718,32900,33100,32500,32750,1515167,1
20160715,33300,33500,32650,32700,2580255,1
20160714,32500,33300,32450,33050,3145494,0
20160713,32700,32950,32450,32650,3779418,0
20160712,32250,32300,31550,32000,2523664,0
20160711,31750,32300,31650,32000,3938161,0
20160708,30700,31250,30550,31050,2424460,0
20160707,30750,31350,30600,30650,2715183,1
20160706,31100,31350,30300,30600,6314347,0
20160705,32650,32650,31850,31850,2577231,1
20160704,32250,32900,32050,32750,3192033,1
20160701,31800,32700,31600,32150,5289586,0
20160630,32000,32550,31700,32400,4571310,0
20160629,31800,32200,31700,31800,3801424,0
20160628,31150,31600,30650,31150,5072467,0
20160627,31350,32050,31050,32050,6146337,1
20160624,32800,33100,30450,31800,16852175,1
20160623,30900,31800,30850,31750,7147499,0
20160622,30200,30950,30000,30950,5122638,0
20160621,30050,30150,29550,29800,2376833,0
20160620,29800,30050,29050,30050,4501015,0
20160617,30000,30000,28750,29000,2891783,0
20160616,30250,30400,29350,29650,3687253,1
20160615,29350,30150,29300,29950,5751526,0
20160614,28150,29300,28150,29050,3490535,0
20160613,28650,28700,28000,28350,2607031,0
20160610,29150,29200,28700,29000,2413698,1
20160609,28700,29400,28650,29000,5336122,1
20160608,29050,29300,28450,28550,3940058,0
20160607,27700,28750,27650,28650,4435065,0
20160603,28150,28450,27400,27600,3680988,0
20160602,28600,29050,28000,28050,3443745,1
20160601,28850,29000,28400,28500,3630711,0
20160531,28650,29000,28200,28700,5414611,0
20160530,28850,29400,28650,29000,5492886,1
20160527,27200,28750,27150,28650,7719656,0
20160526,27150,27200,26850,27000,1938084,0
20160525,27450,27450,26950,27050,2250906,1
20160524,27350,27350,26700,26850,2428278,0
20160523,26800,27450,26650,27200,4534043,1
20160520,26600,26650,26250,26300,2245019,0
20160519,26750,26900,26400,26600,4367007,1
20160518,25800,26400,25650,26200,2474774,0
20160517,26250,26300,25900,25900,1545947,0
20160516,26100,26300,25900,26100,1337159,0
20160513,26100,26250,25900,26100,1849910,0
20160512,26050,26250,25850,26100,1759282,0
20160511,26500,26550,26100,26200,1735332,1
20160510,25750,26400,25750,26400,2564593,0
20160509,26150,26550,25700,25750,5291220,1
20160504,27450,27500,26500,26650,4388484,1
20160503,27950,28100,27650,27650,1373116,1
20160502,27950,28300,27750,27850,1306092,1
20160429,27700,28250,27500,28150,2878692,0
20160428,29100,29150,27850,27900,6766879,1
20160427,29300,29750,29000,29150,6213757,1
20160426,27550,29200,27550,29150,7750203,0
20160425,27650,27800,27350,27500,1506644,0
20160422,27450,27800,27350,27500,1556764,0
20160421,27700,27950,27500,27550,2999400,1
20160420,27500,28000,27500,27550,3231788,1
20160419,27500,27550,27350,27450,1843729,0
20160418,28000,28150,27200,27200,3861103,1
20160415,27450,27800,27350,27650,2785108,0
20160414,27600,27850,27250,27250,4761215,1
20160412,27200,27550,27100,27150,1850577,0
20160411,27600,27700,27150,27150,2425426,1
20160408,26950,27800,26900,27800,3718690,1
20160407,27450,27450,26750,26900,4588396,0
20160406,27550,27850,27450,27500,2410844,1
20160405,27900,28100,27600,27850,2032745,1
20160404,28100,28150,27800,27900,2823088,1
20160401,28450,28500,28050,28200,2991431,1
20160331,28700,28850,28000,28150,4336581,1
20160330,29150,29500,28650,28650,3512889,1
20160329,28850,29150,28700,28900,2343876,0
20160328,29000,29050,28150,28550,2795412,0
20160325,29450,29500,28900,29150,1978956,1
20160324,29850,29900,29350,29450,3587082,1
20160323,30100,30450,29850,30250,1868041,1
20160322,29700,30200,29550,30200,2546366,0
20160321,29800,29850,29300,29550,1783055,0
20160318,29500,29900,29250,29450,2864640,1
20160317,29350,29750,29100,29250,2768278,0
20160316,29900,29950,29050,29200,2902896,1
20160315,30350,30550,29750,29900,2078857,1
20160314,31100,31100,30250,30350,2062549,1
20160311,29900,30850,29900,30700,2117430,0
20160310,30550,30650,30150,30300,2734070,0
20160309,29900,30550,29650,30550,3503375,0
20160308,31200,31500,30300,30500,4616147,1
20160307,32150,32250,31500,31900,3487206,1
20160304,31800,32100,31550,31900,1913316,0
20160303,31550,32000,31100,31950,3898363,0
20160302,31050,31300,30650,30950,3567312,0
20160229,30800,30900,29600,30000,2989861,0
20160226,31000,31100,30450,30800,1282277,1
20160225,31400,31500,30650,30800,2527297,1
20160224,31050,31250,30600,30900,3480563,0
20160223,30100,30600,30000,30400,2123648,0
20160222,29400,30000,29400,29900,1366180,0
20160219,29950,30050,29250,29600,2336536,1
20160218,30550,30850,29800,30200,2972873,1
20160217,29250,30300,29150,30050,6106318,0
20160216,27850,29000,27800,28900,3851681,0
20160215,27750,28200,27500,27700,2162111,0
